words,meaning,pron,meaning2,meaning3
neglect,忽略,nɪˈglɛkt,,
strike,打击,straɪk,,
alternation,变换,ˌɔːltəˈneɪʃən,,
intimately,密切地,ˈɪntɪmətlɪ,,
familiar, 熟悉的,fəˈmɪliər,,
spontaneous,自发的,spɑnˈteɪniəs,无意识的,
prominent,突起的,ˈprɑmɪnənt,重要的,
emerging,新兴的,ɪˈmɜːdʒɪŋ,,
dominate,支配,ˈdɑməˌneɪt,,
essentially,本质上,ɪˈsɛnʃəlɪ,本来,
assumption,假定,əˈsʌmpʃən,,
consistently,一贯地,kən'sistəntli,一致地,
relegate,使降级,ˈrɛləˌgeɪt,归入,
advent,出现,ˈædvent,,
prominence,显著,ˈprɑmənəns, 声望,
mainstream,主流,ˈmeɪnˌstrim,,
inherited,遗传的,ɪnˈherɪtɪd,,
legacy,遗产,ˈlɛgəsi,,
predominantly,主要地,prɪˈdɑmənəntlɪ,显著地,
regard,考虑,rɪˈgɑrd,关系,
endorse,赞同,ɪnˈdɔrs,背书,
empirical,经验主义的,ɛmˈpɪrɪkəl,,
so far,到目前为止,,,
wealth,财富,wɛlθ,大量,
rumination,反刍,ru:mi'neiʃən,,
antithetical,正相反的,ˌæntəˈθɛtɪkəl,,
constraint,限制,kənˈstreɪnt,,
underpinning,基础,ˈʌndərˌpɪnɪŋ,,
deactivate,拆除,diˈæktəˌveɪt,使无效,
corresponding,相应的,ˌkɔrəˈspɑndɪŋ,一致的,
reciprocal,相互的,rɪˈsɪprəkəl,,
simultaneous,同时的,ˌsaɪməlˈteɪniəs,,
salient,显著的,ˈseɪljənt,重要的,
substantial,大量的,səbˈstænʃl,结实的,
overlap,重ねる,ˈəʊvɜ:ˌlæp,,
putative,推定(上)の,pjúːṭəṭɪv,,
transient,一時の,trˈænʃənt,瞬間的な,
initiation,開始,ɪˌnɪʃiˈeɪʃən,,
temporally,暂时地,ˈtempərəlɪ,,
consensus,一致,kənˈsɛnsəs,,
constituent,成分,kənˈstɪtʃuənt,组成的,
gyrus,脳回,dʒáirəs,,
nonetheless,尽管如此,ˌnʌnðəˈlɛs,,
with respect to,关于,,,
prevalence,流行,ˈprevələns,普遍,
parallel,类似的,ˈpærəˌlɛl,平行的,
tentative, 试探性的,ˈtɛntətɪv,,
retrospective,回想的,ˌrɛtrəˈspɛktɪv,,
subsequent,后来的,ˈsʌbsɪkwənt,,
conclusively,决定性,kənˈkluːsɪvlɪ,确实地,
counterintuitive,违反直觉的,ˈkaʊntərɪnˈtuɪtɪv,,
executive,实施的,ɪɡˈzekjətɪv,主管,
attenuate,减弱的,əˈtɛnjuˌeɪt,细小的,
interchangeably,可交换地,ˌɪntəˈtʃeɪndʒəblɪ,,
deliberate,深思熟虑的,dɪˈlɪbərɪt,,
converging, 集中する, kʌˈnvɜ:dʒɪŋ,,
precede,先に立つ,priˈsid,,
ensemble,全体,ɑnˈsɑmbəl,,
involvement,参与,ɪnˈvɒlvmənt,包含,
exert,运用,ɪgˈzɜrt,竭力,
dysfunction,机能不良,dɪsˈfʌŋkʃən,,
coherence,一致性,koʊˈhɪrəns,连贯性,
chronic,慢性的,ˈkrɑnɪk,严重的,
detrimental,有害的,ˌdɛtrəˈmɛntəl,不利的,
involuntary,自然而然的,ɪnˈvɑlənˌtɛri,无意识的,
exaggerate,夸大,ɪgˈzædʒərˌeɪt,,
severe,严重的,səˈvɪr,,
phobic,恐怖症の,fóubik,,
circuit,巡回,ˈsɜrkɪt,,
manifest,明显的,ˈmænəˌfɛst,出现,
lapse,失效,læps,,
rigid,僵硬的,ˈrɪdʒɪd,坚硬的,
repetitious,多次反复的,ˌrɛpətɪʃəs,,
disruption,分裂,dis'rʌpʃən,,
integrity,诚实,ɪnˈteɡrəti,完好,
prominent,突出的,ˈprɑmɪnənt,重要的,
antithetical,对照的,ˌæntəˈθɛtɪkəl,,
static,静的,stǽtik,,
falsifiable,反証可能な,'fɔlsɪfaɪəbl],,
harness,控制,ˈhɑːrnɪs,利用,马具
disparate,完全不同的,ˈdɪspərət,,
regulatory,调整的,'rɛgjələtɔri,管理的,
crucial,关键性的,ˈkruʃəl,,
